SysOrderId,InstrumentId,UserId,FrontId,Timestamp,LocalTime,InsertLocalTime,Buy,OrderPrice,OrderVol,FirstTradeLocalTime,LastTradeLocalTime,TradeVol,AverageTradePrice,Tick2Trade,Tick2Recv,Order2Ack,Order2FrontAck
10114708#36500,128015.SZ,Oes000000000,-1,'11:23:46.490','20221201 11:23:43.581858074','20221201 11:23:43.581879191',1,125.331000,510,'20221201 11:23:43.584377081','20221201 11:23:43.584377081',510,125.331000,21117,549,2471956,-1
10114750#36522,123057.SZ,Oes000000000,-1,'11:23:59.720','20221201 11:23:56.810025980','20221201 11:23:56.810045113',1,239.841000,20,'','',0,0.000000,19133,666,2935791,-1
10115141#36740,123057.SZ,Oes000000000,-1,'11:25:19.740','20221201 11:25:16.817403507','20221201 11:25:16.817424780',1,239.798000,120,'','',0,0.000000,21273,620,3272988,-1
10115142#36741,123057.SZ,Oes000000000,-1,'11:25:19.740','20221201 11:25:16.817443114','20221201 11:25:16.817454421',1,239.798000,120,'','',0,0.000000,11307,630,3277394,-1
10115143#36742,123057.SZ,Oes000000000,-1,'11:25:19.740','20221201 11:25:16.817491987','20221201 11:25:16.817502144',1,239.798000,120,'','',0,0.000000,10157,639,3500653,-1
10115433#36903,123057.SZ,Oes000000000,-1,'11:26:05.130','20221201 11:26:02.207044219','20221201 11:26:02.207058584',1,239.461000,440,'','',0,0.000000,14365,493,4106594,-1
10115434#36904,123057.SZ,Oes000000000,-1,'11:26:05.130','20221201 11:26:02.207130123','20221201 11:26:02.207141057',1,239.461000,220,'','',0,0.000000,10934,784,4062625,-1
10115435#36905,123057.SZ,Oes000000000,-1,'11:26:05.130','20221201 11:26:02.207143127','20221201 11:26:02.207153459',1,239.477000,220,'','',0,0.000000,10332,575,4108170,-1
10115436#36906,123057.SZ,Oes000000000,-1,'11:26:05.130','20221201 11:26:02.207164376','20221201 11:26:02.207174252',1,239.467000,220,'','',0,0.000000,9876,590,4087670,-1
10115437#36907,123057.SZ,Oes000000000,-1,'11:26:05.130','20221201 11:26:02.207176855','20221201 11:26:02.207185694',1,239.461000,220,'','',0,0.000000,8839,547,4143567,-1
10115438#36908,123057.SZ,Oes000000000,-1,'11:26:05.130','20221201 11:26:02.207189282','20221201 11:26:02.207199247',1,239.461000,170,'','',0,0.000000,9965,652,4130288,-1
10115439#36909,123057.SZ,Oes000000000,-1,'11:26:05.130','20221201 11:26:02.207201771','20221201 11:26:02.207211474',1,239.467000,170,'','',0,0.000000,9703,659,4173057,-1
10115440#36910,123057.SZ,Oes000000000,-1,'11:26:05.130','20221201 11:26:02.207252068','20221201 11:26:02.207269584',1,239.500000,60,'','',0,0.000000,17516,691,4115214,-1
10115441#36911,123057.SZ,Oes000000000,-1,'11:26:05.130','20221201 11:26:02.207264289','20221201 11:26:02.207281644',1,239.500000,60,'','',0,0.000000,17355,6739,4160431,-1
10115442#36912,123057.SZ,Oes000000000,-1,'11:26:05.130','20221201 11:26:02.207672073','20221201 11:26:02.207681464',1,239.527000,820,'','',0,0.000000,9391,578,3760767,-1
10115453#36913,123057.SZ,Oes000000000,-1,'11:26:05.140','20221201 11:26:02.218017212','20221201 11:26:02.218028198',1,239.704000,30,'','',0,0.000000,10986,717,2887924,-1
10115454#36914,123057.SZ,Oes000000000,-1,'11:26:05.140','20221201 11:26:02.218111008','20221201 11:26:02.218120175',1,239.704000,30,'','',0,0.000000,9167,516,2832964,-1
10115455#36915,123057.SZ,Oes000000000,-1,'11:26:05.140','20221201 11:26:02.218132854','20221201 11:26:02.218142150',1,239.704000,30,'','',0,0.000000,9296,475,2882997,-1
10115456#36916,123057.SZ,Oes000000000,-1,'11:26:05.140','20221201 11:26:02.218175058','20221201 11:26:02.218184580',1,239.704000,30,'','',0,0.000000,9522,765,2843306,-1
10115457#36917,123057.SZ,Oes000000000,-1,'11:26:05.140','20221201 11:26:02.218296749','20221201 11:26:02.218305567',1,239.704000,30,'','',0,0.000000,8818,697,2898482,-1
10115458#36918,123057.SZ,Oes000000000,-1,'11:26:05.140','20221201 11:26:02.218317839','20221201 11:26:02.218326418',1,239.704000,30,'','',0,0.000000,8579,712,2907564,-1
10115459#36919,123057.SZ,Oes000000000,-1,'11:26:05.140','20221201 11:26:02.218330461','20221201 11:26:02.218338869',1,239.704000,30,'','',0,0.000000,8408,559,2918472,-1
10115460#36920,123057.SZ,Oes000000000,-1,'11:26:05.140','20221201 11:26:02.218352686','20221201 11:26:02.218361537',1,239.704000,30,'','',0,0.000000,8851,616,2927177,-1
10115461#36921,123057.SZ,Oes000000000,-1,'11:26:05.140','20221201 11:26:02.218374004','20221201 11:26:02.218382728',1,239.704000,30,'','',0,0.000000,8724,656,2928025,-1
10115462#36922,123057.SZ,Oes000000000,-1,'11:26:05.140','20221201 11:26:02.218386407','20221201 11:26:02.218395664',1,239.704000,30,'','',0,0.000000,9257,602,2946935,-1
10115463#36923,123057.SZ,Oes000000000,-1,'11:26:05.140','20221201 11:26:02.218408219','20221201 11:26:02.218417852',1,239.704000,30,'','',0,0.000000,9633,700,2945881,-1
